Specialty_Dist_Rep,Common_Grp_Id,Common_Grp_Desc,Common_Entity_Id,Common_Entity_Desc,Customer_No,Customer_Name,Active_Status,Primary_Secondary,Cmpny_Cd,Sales_Org,Dea_Number,Address,City,State,ZIP,Acc_340B_Id,Mpb_Account_Class_Desc,Mck_Account_Class_Desc
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,5977,WALG 16078/ST MEM PHS MPB,Active,SECONDARY,8545,8000|8545,FW3140908,205 8TH AVE,NEW YORK,NY,10011,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,73554,CAREMARK NJ SP/HHRCHS PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,RRC330164-00,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,323805,SPEC PHCY AT SMH PHS MPB,Active,SECONDARY,8545,8000|8545,BS4797544,601 ELMWOOD AVE,ROCHESTER,NY,14642,DSH330285,PHS,PHS/340B Acct
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,323805,SPEC PHCY AT SMH PHS MPB,Active,SECONDARY,8545,8000|8545,BS4797544,601 ELMWOOD AVE,ROCHESTER,NY,14642,DSH330285,PHS,PHS/340B Acct
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,334324,SPEC PHCY SMH WACA34 MPB,Active,SECONDARY,8545,8000|8545,,601 ELMWOOD AVE,ROCHESTER,NY,14642,DSH330285,WAC,WAC Acct.
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,392773,STRONG MEM HOSP MPB,Active,SECONDARY,8545,8000|8545,AU4158033,601 ELMWOOD AVE,ROCHESTER,NY,14642,0,GPO,GPO Acct.
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,592060,CAREMARK FL SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,FC0098916,7930 WOODLAND CTR STE 500,TAMPA,FL,33614,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,647269,CAREMARK CA SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,BC3683580,1127 BRYN MAWR SUITE A,REDLANDS,CA,92374,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,647591,CAREMARK NC SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,FC1404918,10700 WORLD TRADE BLV 110,RALEIGH,NC,27617,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,647752,CAREMARK IL SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,FC0059736,800 BIERMAN CT STE B,MOUNT PROSPECT,IL,60056,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,648074,CAREMARK MI SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,FC0002802,1307-H ALLEN DRIVE,TROY,MI,48083,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,648235,CAREMARK TN SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,BC9505960,8370 WOLF LAKE DR STE 107,BARTLETT,TN,38133,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,648557,CAREMARK KS SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,BL7438941,11162 RENNER BLVD,LENEXA,KS,66219,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,648718,CAREMARK NJ SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,FC0275304,180 PASSAIC AVE,FAIRFIELD,NJ,7004,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,649201,CVS CRMRK 2921/STRONG PHS,Active,SECONDARY,8545,8000|8545,BS6907224,105 MALL BOULEVARD,MONROEVILLE,PA,15146,DSH330285,PHS,PHS Contract Pharmacy
BENNETT CORLEY,314,HIGHLAND ROCHESTER STRONGS,314,HIGHLAND ROCHESTER STRONGS,649523,CAREMARK MA SP/STRONG PHS,Active,SECONDARY,8545,8000|8545,BC9420491,25 BIRCH ST BLDG B STE100,MILFORD,MA,1757,DSH330285,PHS,PHS Contract Pharmacy
