Specialty_Dist_Rep,Common_Grp_Id,Common_Grp_Desc,Common_Entity_Id,Common_Entity_Desc,Customer_No,Customer_Name,Active_Status,Primary_Secondary,Cmpny_Cd,Sales_Org,Dea_Number,Address,City,State,ZIP,Acc_340B_Id,Mpb_Account_Class_Desc,Mck_Account_Class_Desc
BENNETT CORLEY,21230,CHRISTUS,2062,CHRISTUS HEALTH LA,122,CHRISTUS SPEC PHY PHS MPB,Active,SECONDARY,8545,8000|8545,FC0264224,800 E DAWSON ST STE 100,TYLER,TX,75701,DSH450102,PHS,PHS/340B Acct
MARY BERRESFORD,40162,COMM HEALTH BRANCH CTY MI,40162,COMM HEALTH BRANCH CTY MI,499,CHC HOSP PHRMCY MPB,Active,SECONDARY,8545,8000|8545,BC0406086,274 E. CHICAGO STREET,COLDWATER,MI,49036,0,GPO,GPO Acct.
MARY BERRESFORD,72847,OH STATE UNIVERSITY MED CTR,72847,OH STATE UNIVERSITY MED CTR,821,OSU CP E INF PHCY PHS MPB,Active,SECONDARY,8545,8000|8545,FO6559201,543 TAYLOR AVE STE 3125,COLUMBUS,OH,43203,DSH360085AB,PHS,PHS/340B Acct
BENNETT CORLEY,72145,THE CHILDRENS HOSP OF PA,72145,THE CHILDRENS HOSP OF PA,928,CHILDREN HSP OF PA MPB,Active,SECONDARY,8545,8000|8545,AC2452629,3401 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,0,GPO,GPO Acct.
BENNETT CORLEY,72821,NORTHERN ILLINOIS MC MCHENRY,72821,NORTHERN ILLINOIS MC MCHENRY,982,CENTRAL D HOSP PHRMCY MPB,Active,SECONDARY,8545,8000|8545,FC0712934,25 N WINFIELD ROAD,WINFIELD,IL,60190,0,GPO,GPO Acct.
BENNETT CORLEY,72145,THE CHILDRENS HOSP OF PA,72145,THE CHILDRENS HOSP OF PA,1089,CHILDREN HSP PA PHS MPB,Active,SECONDARY,8545,8000|8545,AC2452629,3401 CIVIC CENTER BLVD,PHILADELPHIA,PA,19104,PED393303-02,PHS,PHS/340B Acct
MARY BERRESFORD,639,UNIV OF CALIF DAVIS,639,UNIV OF CALIF DAVIS,2313,PAVILION PHY PHS MPB,Active,SECONDARY,8545,8000|8545,FP2108416,2315 STOCKTON BLVD RM 1P175,SACRAMENTO,CA,95817,DSH050599,PHS,PHS/340B Acct
MARY BERRESFORD,639,UNIV OF CALIF DAVIS,639,UNIV OF CALIF DAVIS,2319,PAVILION PHY WACA34 MPB,Active,SECONDARY,8545,8000|8545,FP2108416,2315 STOCKTON BLVD RM 1P175,SACRAMENTO,CA,95817,DSH050599,WAC,WAC Acct.
BENNETT CORLEY,72480,MD ISSUE,72493,HOUSTON METHODIST,2323,HOUSTON METHODIST PHS MPB,Active,SECONDARY,8545,8000|8545,FH8873374,4021 GARTH RD,BAYTOWN,TX,77521,DSH450424C,PHS,PHS/340B Acct
MARY BERRESFORD,639,UNIV OF CALIF DAVIS,639,UNIV OF CALIF DAVIS,2335,UC DAVIS CC PHS MPB,Active,SECONDARY,8545,8000|8545,BC6130861,4501 X ST RM 1008,SACRAMENTO,CA,95817,DSH050599,PHS,PHS/340B Acct
MARY BERRESFORD,639,UNIV OF CALIF DAVIS,639,UNIV OF CALIF DAVIS,2351,UC DAVIS CC WACA34 MPB,Active,SECONDARY,8545,8000|8545,BC6130861,4501 X ST RM 1008,SACRAMENTO,CA,95817,DSH050599,WAC,WAC Acct.
MARY BERRESFORD,639,UNIV OF CALIF DAVIS,639,UNIV OF CALIF DAVIS,2387,PCC CYPRESS PHS MPB,Active,SECONDARY,8545,8000|8545,BP6143933,2221 STOCKTON BLVD RM 1130,SACRAMENTO,CA,95817,DSH050599,PHS,PHS/340B Acct
